2022-07-04 03:35:25 INFO  SparkContext:54 - Created broadcast 4 from load at NativeMethodAccessorImpl.java:0
2022-07-04 03:35:25 INFO  FileSourceScanExec:54 - Planning scan with bin packing, max size: 4194304 bytes, open cost is considered as scanning 4194304 bytes.
2022-07-04 03:35:25 INFO  SparkContext:54 - Starting job: load at NativeMethodAccessorImpl.java:0
2022-07-04 03:35:25 INFO  DAGScheduler:54 - Got job 2 (load at NativeMethodAccessorImpl.java:0) with 1 output partitions
2022-07-04 03:35:25 INFO  DAGScheduler:54 - Final stage: ResultStage 2 (load at NativeMethodAccessorImpl.java:0)
2022-07-04 03:35:25 INFO  DAGScheduler:54 - Parents of final stage: List()
2022-07-04 03:35:25 INFO  DAGScheduler:54 - Missing parents: List()
2022-07-04 03:35:25 INFO  DAGScheduler:54 - Submitting ResultStage 2 (MapPartitionsRDD[12] at load at NativeMethodAccessorImpl.java:0), which has no missing parents
2022-07-04 03:35:25 INFO  MemoryStore:54 - Block broadcast_5 stored as values in memory (estimated size 8.8 KB, free 365.4 MB)
2022-07-04 03:35:25 INFO  MemoryStore:54 - Block broadcast_5_piece0 stored as bytes in memory (estimated size 4.5 KB, free 365.4 MB)
2022-07-04 03:35:25 INFO  BlockManagerInfo:54 - Added broadcast_5_piece0 in memory on 192.168.1.10:37137 (size: 4.5 KB, free: 366.2 MB)
2022-07-04 03:35:25 INFO  SparkContext:54 - Created broadcast 5 from broadcast at DAGScheduler.scala:1161
2022-07-04 03:35:25 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 2 (MapPartitionsRDD[12] at load at NativeMethodAccessorImpl.java:0) (first 15 tasks are for partitions Vector(0))
2022-07-04 03:35:25 INFO  TaskSchedulerImpl:54 - Adding task set 2.0 with 1 tasks
2022-07-04 03:35:25 INFO  TaskSetManager:54 - Starting task 0.0 in stage 2.0 (TID 5, localhost, executor driver, partition 0, PROCESS_LOCAL, 8332 bytes)
2022-07-04 03:35:25 INFO  Executor:54 - Running task 0.0 in stage 2.0 (TID 5)
2022-07-04 03:35:25 INFO  FileScanRDD:54 - Reading File path: file:///home/rahul/bcg/Case_study/Data/Damages_use.csv, range: 0-715274, partition values: [empty row]
2022-07-04 03:35:25 INFO  Executor:54 - Finished task 0.0 in stage 2.0 (TID 5). 1291 bytes result sent to driver
2022-07-04 03:35:25 INFO  TaskSetManager:54 - Finished task 0.0 in stage 2.0 (TID 5) in 14 ms on localhost (executor driver) (1/1)
2022-07-04 03:35:25 INFO  TaskSchedulerImpl:54 - Removed TaskSet 2.0, whose tasks have all completed, from pool 
2022-07-04 03:35:25 INFO  DAGScheduler:54 - ResultStage 2 (load at NativeMethodAccessorImpl.java:0) finished in 0.027 s
2022-07-04 03:35:25 INFO  DAGScheduler:54 - Job 2 finished: load at NativeMethodAccessorImpl.java:0, took 0.036263 s
2022-07-04 03:35:25 INFO  FileSourceStrategy:54 - Pruning directories with: 
2022-07-04 03:35:25 INFO  FileSourceStrategy:54 - Post-Scan Filters: 
2022-07-04 03:35:25 INFO  FileSourceStrategy:54 - Output Data Schema: struct<value: string>
2022-07-04 03:35:25 INFO  FileSourceScanExec:54 - Pushed Filters: 
2022-07-04 03:35:25 INFO  MemoryStore:54 - Block broadcast_6 stored as values in memory (estimated size 283.7 KB, free 365.1 MB)
2022-07-04 03:35:25 INFO  MemoryStore:54 - Block broadcast_6_piece0 stored as bytes in memory (estimated size 23.3 KB, free 365.1 MB)
2022-07-04 03:35:25 INFO  BlockManagerInfo:54 - Added broadcast_6_piece0 in memory on 192.168.1.10:37137 (size: 23.3 KB, free: 366.2 MB)
